asset_id,component_type,component_name,board_space_numbers,approved_source_path,web_export_path,print_export_path,required_format,print_size,dpi_target,status,codex_rule
CARD-PROPERTY-GELATO,property-card,Gelato,25,assets/source-approved/property-cards/gelato.png,assets/web-optimized/property-cards/gelato.png,assets/print-ready/property-cards/gelato-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-WEDDING-CAKE,property-card,Wedding Cake,27,assets/source-approved/property-cards/wedding-cake.png,assets/web-optimized/property-cards/wedding-cake.png,assets/print-ready/property-cards/wedding-cake-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-RUNTZ,property-card,Runtz,28,assets/source-approved/property-cards/runtz.png,assets/web-optimized/property-cards/runtz.png,assets/print-ready/property-cards/runtz-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-ZKITTLEZ,property-card,Zkittlez,30,assets/source-approved/property-cards/zkittlez.png,assets/web-optimized/property-cards/zkittlez.png,assets/print-ready/property-cards/zkittlez-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-CHEMDAWG,property-card,Chemdawg,32,assets/source-approved/property-cards/chemdawg.png,assets/web-optimized/property-cards/chemdawg.png,assets/print-ready/property-cards/chemdawg-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-SOUR-DIESEL,property-card,Sour Diesel,33,assets/source-approved/property-cards/sour-diesel.png,assets/web-optimized/property-cards/sour-diesel.png,assets/print-ready/property-cards/sour-diesel-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-GG4,property-card,GG4,35,assets/source-approved/property-cards/gg4.png,assets/web-optimized/property-cards/gg4.png,assets/print-ready/property-cards/gg4-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-OG-KUSH,property-card,OG Kush,38,assets/source-approved/property-cards/og-kush.png,assets/web-optimized/property-cards/og-kush.png,assets/print-ready/property-cards/og-kush-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-PERMANENT-MARKER,property-card,Permanent Marker,40,assets/source-approved/property-cards/permanent-marker.png,assets/web-optimized/property-cards/permanent-marker.png,assets/print-ready/property-cards/permanent-marker-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-CATEGORY-INDICA,category-card,Indica,6,assets/source-approved/premium-lines/indica.png,assets/web-optimized/premium-lines/indica.png,assets/print-ready/premium-lines/indica-print.png,PNG,standard deed card,600,pending_upload,Premium Line card; not a normal color property
CARD-CATEGORY-SATIVA,category-card,Sativa,16,assets/source-approved/premium-lines/sativa.png,assets/web-optimized/premium-lines/sativa.png,assets/print-ready/premium-lines/sativa-print.png,PNG,standard deed card,600,pending_upload,Premium Line card; not a normal color property
CARD-CATEGORY-HYBRID,category-card,Hybrid,26,assets/source-approved/premium-lines/hybrid.png,assets/web-optimized/premium-lines/hybrid.png,assets/print-ready/premium-lines/hybrid-print.png,PNG,standard deed card,600,pending_upload,Premium Line card; not a normal color property
CARD-CATEGORY-AUTOFLOWER,category-card,Autoflower,36,assets/source-approved/premium-lines/autoflower.png,assets/web-optimized/premium-lines/autoflower.png,assets/print-ready/premium-lines/autoflower-print.png,PNG,standard deed card,600,pending_upload,Premium Line card; not a normal color property
CARD-UTILITY-GROW-LIGHTS,utility-card,Grow Lights,13,assets/source-approved/utilities/grow-lights.png,assets/web-optimized/utilities/grow-lights.png,assets/print-ready/utilities/grow-lights-print.png,PNG,standard deed card,600,pending_upload,Utility card; not a normal color property
CARD-UTILITY-WATER-WORKS,utility-card,Water Works,29,assets/source-approved/utilities/water-works.png,assets/web-optimized/utilities/water-works.png,assets/print-ready/utilities/water-works-print.png,PNG,standard deed card,600,pending_upload,Utility card; not a normal color property
DECK-HIGH-CHANCE,action-deck,High Chance deck,8|23|37,assets/source-approved/decks/high-chance/,assets/web-optimized/decks/high-chance/,assets/print-ready/decks/high-chance/,PNG/PDF,standard card deck,600,pending_upload,One of two draw-card decks; do not call this Harvest or Pressure
DECK-COMMUNITY-STASH,action-deck,Community Stash deck,3|17|34,assets/source-approved/decks/community-stash/,assets/web-optimized/decks/community-stash/,assets/print-ready/decks/community-stash/,PNG/PDF,standard card deck,600,pending_upload,One of two draw-card decks; do not call this Community Chest
PIECE-GROW-TENT,upgrade-piece,Grow Tent pieces,n/a,assets/source-approved/pieces/grow-tents.png,assets/web-optimized/pieces/grow-tents.png,assets/print-ready/pieces/grow-tents-print.png,PNG/SVG/STL,n/a,300,pending_upload,House replacement piece
PIECE-DISPENSARY,upgrade-piece,Dispensary pieces,n/a,assets/source-approved/pieces/dispensaries.png,assets/web-optimized/pieces/dispensaries.png,assets/print-ready/pieces/dispensaries-print.png,PNG/SVG/STL,n/a,300,pending_upload,Hotel replacement piece
MONEY-BUD-BUCKS,currency,Bud Bucks money set,n/a,assets/source-approved/money/,assets/web-optimized/money/,assets/print-ready/money/,PNG/PDF,print sheet,300,pending_upload,Use denominations from data/game_config.json
DICE-001,dice,Dice mechanics and dice visuals,n/a,assets/source-approved/dice/dice-set.png,assets/web-optimized/dice/dice-set.png,assets/print-ready/dice/dice-set-print.png,PNG/SVG,n/a,300,pending_upload,Digital movement uses dice mechanics; physical dice may use standard dice
TOKEN-PLAYERS,player-tokens,Player tokens,n/a,assets/source-approved/tokens/,assets/web-optimized/tokens/,assets/print-ready/tokens/,PNG/SVG/STL,n/a,300,pending_upload,Tokens must sit on board spaces in digital version
